System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:55:23:548704381,1600000|1700000|1200000|1700000,21.2410,5.2268,4.7566,53000,
11:55:24: 49923047,1700000|1500000|1700000|1200000,22.1694,6.2385,4.6712,53000,
11:55:24:551107717,1200000|1700000|1300000|1200000,22.4245,6.4252,4.7403,53000,
11:55:25: 52399234,1400000|1500000|2200000|1200000,22.5611,6.5910,4.6967,53000,
11:55:25:553661292,1500000|1800000|1500000|1800000,22.5869,6.5777,4.6966,52000,
11:55:26: 54667072,1200000|1300000|1200000|1700000,22.0252,6.0262,4.6748,52000,
11:55:26:556158966,1200000|2000000|1400000|1300000,21.6728,5.6936,4.6482,53000,
11:55:27: 57286258,1500000|1200000|1500000|1400000,21.4161,5.4297,4.6800,53000,
11:55:27:558522014,1600000|1200000|1400000|1700000,22.2241,6.2361,4.7541,53000,
11:55:28: 59772820,1200000|1200000|1700000|1900000,22.6285,6.6864,4.6404,52000,
11:55:28:561339887,1200000|1200000|1200000|1400000,23.9200,7.9038,4.7024,53000,
11:55:29: 62653367,1200000|1500000|1700000|1800000,23.1342,7.1496,4.6733,53000,
11:55:29:563795940,1500000|1600000|1300000|1200000,22.3244,6.3905,4.7081,52000,
11:55:30: 65085283,1600000|1200000|1200000|1300000,21.2934,5.3091,4.7253,53000,
11:55:30:566274186,1500000|1600000|1800000|1500000,21.9758,5.9693,4.6627,52000,
11:55:31: 67314287,1500000|1300000|1300000|1500000,21.6624,5.6686,4.7181,53000,
11:55:31:568551586,1400000|1200000|1500000|1900000,21.9834,5.9934,4.7039,53000,
11:55:32: 69831099,1900000|1200000|1400000|1200000,23.2471,7.2568,4.6785,53000,
11:55:32:571076552,1200000|1900000|1200000|1400000,22.1956,6.2180,4.6636,52000,
11:55:33: 72660114,1200000|1500000|2100000|1200000,23.0811,7.1059,4.6477,52000,
11:55:33:573794039,1200000|2000000|1200000|1200000,22.9749,7.0222,4.7069,53000,
11:55:34: 75322098,2000000|1500000|1200000|2000000,23.6131,7.5956,4.7100,54000,
11:55:34:576324006,1200000|1200000|1200000|1200000,23.3214,7.3702,4.6612,53000,
11:55:35: 77915585,1300000|1800000|1700000|1800000,22.3694,6.4180,4.7465,54000,
11:55:35:579001782,1300000|1900000|1200000|1500000,23.5333,7.5367,4.6884,53000,
11:55:36: 80412377,1200000|1600000|1200000|1900000,22.3335,6.3457,4.6489,52000,
11:55:36:582026040,1200000|1300000|1900000|1500000,22.9242,6.9140,4.7601,53000,
11:55:37: 83210144,1700000|1200000|1600000|1200000,22.5553,6.6070,4.6715,53000,
11:55:37:584334615,1200000|1600000|1600000|1300000,23.3458,7.3647,4.6552,53000,
11:55:38: 85551414,2200000|1800000|1600000|1800000,23.5896,7.5781,4.6600,53000,
11:55:38:586505377,1200000|1200000|1500000|1700000,23.1420,7.1875,4.6597,52000,
11:55:39: 88039181,1200000|1200000|1300000|1700000,23.4378,7.4190,4.6928,52000,
11:55:39:589644828,1200000|1800000|1700000|1400000,23.6814,7.7025,4.7798,53000,
11:55:40: 91222334,1800000|1200000|1600000|1600000,23.2985,7.3159,4.7002,53000,
11:55:40:592245823,1500000|1800000|1500000|1200000,23.9894,7.9894,4.6653,53000,
11:55:41: 93522785,1300000|1200000|1700000|1300000,23.0943,7.1087,4.6511,54000,
