System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:59:46:928886852,2100000|1900000|2100000|2100000,36.8705,19.9502,6.4935,57000,
11:59:47:430463847,1800000|2000000|2100000|1900000,36.0192,19.1097,6.6149,56000,
11:59:47:932910213,1700000|1900000|2200000|1900000,36.4318,19.4604,6.7384,57000,
11:59:48:434674077,2200000|2000000|1800000|1900000,36.8338,19.8536,6.5011,57000,
11:59:48:939567126,2100000|2100000|2100000|2000000,36.9265,20.0544,6.4805,57000,
11:59:49:444328278,2200000|2000000|2200000|2100000,37.4114,20.3815,6.6580,58000,
11:59:49:947696598,2100000|1900000|2000000|2200000,36.5248,19.6013,6.5086,57000,
11:59:50:451593050,1700000|2000000|2100000|2000000,36.3101,19.4841,6.3477,57000,
11:59:50:961161743,2100000|1900000|1900000|2000000,36.3925,19.3686,6.6417,57000,
11:59:51:463990081,2200000|1800000|1800000|2100000,35.5920,18.6706,6.6290,57000,
11:59:51:965166436,2200000|2200000|2100000|2000000,36.6795,19.6846,6.7190,57000,
11:59:52:467286426,2200000|1400000|2200000|2100000,36.6333,19.7054,6.5301,58000,
11:59:52:968492305,2100000|2200000|2000000|2100000,37.0123,20.2360,6.0219,58000,
11:59:53:469965288,2100000|2200000|1700000|1600000,36.6614,19.7276,6.5550,57000,
11:59:53:973318442,1800000|2200000|2000000|2000000,36.0732,19.0639,6.7946,57000,
11:59:54:477014568,1700000|1900000|2200000|2000000,36.3840,19.3542,6.8557,58000,
11:59:54:978729521,2100000|2200000|2200000|2100000,36.8481,20.0235,6.3738,58000,
11:59:55:480962329,2000000|2000000|1700000|1800000,36.4077,19.5482,6.2213,58000,
11:59:55:984347902,2100000|2100000|2100000|2100000,36.6893,19.7674,6.4552,58000,
11:59:56:485545465,1900000|2200000|2100000|2100000,36.0593,19.0591,6.6169,57000,
11:59:56:990153502,2100000|2200000|2200000|2000000,36.5064,19.6406,6.4106,58000,
11:59:57:495180944,2200000|2200000|2200000|2200000,36.8679,19.9955,6.1434,58000,
11:59:57:997694038,1800000|2000000|1900000|2200000,36.7209,19.8213,6.5741,58000,
11:59:58:498877333,2100000|2000000|2100000|1800000,36.4578,19.2578,6.9664,57000,
11:59:59:  4795170,2200000|2100000|2000000|1800000,36.5412,19.5312,6.9346,57000,
11:59:59:507907178,2200000|2000000|2200000|1800000,36.6855,19.6654,6.7093,58000,
12:00:00: 16124050,2100000|1800000|2000000|1900000,36.3971,19.4995,6.6344,58000,
12:00:00:519264412,2100000|1900000|2000000|2100000,36.4406,19.3116,6.9435,57000,
12:00:01: 21120253,2000000|2200000|2100000|2000000,36.4740,19.3637,6.8995,57000,
12:00:01:523756524,2100000|1900000|2200000|2100000,36.0525,18.9825,6.8839,58000,
12:00:02: 28919182,2200000|2000000|1900000|1800000,36.6510,19.7335,6.5700,57000,
12:00:02:534011066,1500000|2200000|2200000|1800000,36.1984,19.2768,6.5006,58000,
12:00:03: 37093149,1500000|1700000|1600000|2100000,36.4495,19.5094,6.7453,57000,
12:00:03:538375362,2200000|2100000|2000000|2100000,36.3721,19.4068,6.4896,58000,
12:00:04: 39738300,1800000|2200000|2200000|2000000,36.1246,19.1821,6.6741,58000,
12:00:04:541437536,2200000|1800000|1500000|2100000,36.4236,19.4264,6.4128,58000,
12:00:05: 44104925,2100000|2100000|2100000|2200000,36.6030,19.8447,6.1483,58000,
12:00:05:545487020,1900000|2200000|1900000|2100000,37.1761,20.2574,6.4488,58000,
12:00:06: 46779087,1700000|2200000|1900000|1900000,36.6752,19.7007,6.6793,56000,
12:00:06:549355173,2100000|1900000|2000000|1900000,36.3350,19.3902,6.7695,58000,
12:00:07: 51613801,2100000|2200000|2200000|2100000,35.6867,18.7234,6.5449,58000,
12:00:07:553594739,2200000|2100000|2100000|1700000,36.5795,19.6222,6.6732,58000,
12:00:08: 55199683,2200000|2000000|1800000|2200000,36.5924,19.6862,6.5077,58000,
12:00:08:556412499,1900000|1900000|2100000|1600000,36.3146,19.3511,6.6909,57000,
12:00:09: 57792930,2100000|2100000|2100000|2100000,36.1451,19.1501,6.7722,58000,
12:00:09:559881278,2200000|2100000|2200000|2100000,35.6285,18.7298,6.6672,58000,
12:00:10: 64439661,2100000|2200000|2100000|1900000,36.0264,19.0257,6.4518,58000,
12:00:10:566487073,2200000|2200000|2200000|2200000,36.1234,19.2941,6.3872,58000,
12:00:11: 67708225,2000000|2100000|2100000|2100000,35.8459,18.9109,6.5233,58000,
12:00:11:569425556,2200000|2200000|1700000|2200000,35.9963,19.0818,6.5183,58000,
12:00:12: 72831870,2000000|1800000|2000000|2200000,36.1330,19.1210,6.5150,58000,
12:00:12:574327338,2000000|1700000|1900000|1900000,36.0731,19.0569,6.7485,58000,
12:00:13: 78519396,2000000|1700000|2200000|2200000,36.2551,19.3218,6.5391,58000,
12:00:13:579852803,2200000|1900000|1900000|2000000,36.0518,19.0259,6.8433,58000,
12:00:14: 81785033,2100000|2100000|2200000|2200000,36.2035,19.2802,6.7781,58000,
12:00:14:585864527,1800000|1900000|2000000|2000000,36.0706,19.0152,6.6550,58000,
12:00:15: 87401493,2000000|2200000|2000000|2000000,36.2415,19.2339,6.7802,58000,
12:00:15:588778646,2200000|2100000|2100000|2200000,36.4396,19.4538,6.7296,59000,
12:00:16: 91938246,2200000|2200000|2200000|2200000,37.3457,20.4800,6.2828,58000,
12:00:16:593882627,2000000|1900000|2100000|2200000,36.8370,20.0448,6.0595,58000,
12:00:17: 95033962,1800000|1900000|2100000|2000000,37.3208,20.3757,6.5672,58000,
12:00:17:596653420,2200000|2200000|2000000|2000000,36.4631,19.5727,6.4431,58000,
12:00:18: 97814673,1900000|2200000|2100000|2200000,36.4566,19.4774,6.7431,58000,
12:00:18:599218445,2200000|2100000|2000000|2200000,36.9526,20.1032,6.2156,58000,
12:00:19:103659335,2200000|1900000|2200000|2100000,36.9123,20.0478,6.2915,58000,
12:00:19:608075015,2100000|1800000|2200000|2000000,36.9869,20.1690,6.1528,59000,
12:00:20:111208353,2200000|2100000|2200000|2100000,37.0903,20.2366,6.2053,58000,
12:00:20:612975364,2200000|2000000|2200000|2200000,36.9416,20.0615,6.4197,58000,
12:00:21:114121721,1300000|1800000|2100000|1800000,36.6147,19.6610,6.5992,58000,
12:00:21:619005748,1700000|1400000|2200000|2000000,36.6009,19.7753,6.4070,58000,
12:00:22:120865980,2100000|1900000|2200000|1800000,36.6406,19.7050,6.3873,58000,
12:00:22:622225265,2200000|2000000|2100000|2000000,36.6746,19.7772,6.6370,58000,
12:00:23:123809046,2200000|2200000|2200000|2100000,36.7636,19.8501,6.3295,58000,
12:00:23:626538641,2200000|2000000|2200000|2200000,37.3665,20.5048,6.1660,58000,
12:00:24:127930916,2100000|1700000|2200000|2000000,37.1618,20.2632,6.4122,58000,
12:00:24:630632304,2200000|2100000|2200000|2200000,36.6844,19.8394,6.2302,58000,
12:00:25:134366872,2000000|2200000|1900000|1900000,36.3773,19.4859,6.6126,58000,
12:00:25:638037991,2100000|2000000|2100000|2100000,36.2703,19.1710,6.7713,59000,
12:00:26:139479501,2000000|1700000|2000000|1700000,36.7016,19.8203,6.3250,58000,
12:00:26:641309438,2200000|2000000|2200000|2200000,36.2084,19.3244,6.5332,58000,
12:00:27:145536730,1900000|2100000|1900000|2200000,36.7343,19.8091,6.3287,58000,
12:00:27:649840359,1900000|2200000|1700000|2200000,35.5825,18.5888,6.7219,58000,
12:00:28:154014243,1700000|2100000|1900000|2200000,35.8238,18.9220,6.4570,58000,
12:00:28:655594256,1900000|1800000|2000000|1900000,35.6290,18.7452,6.3302,58000,
