System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
15:14:23:710596435,1200000|2200000|1200000|2200000,29.1347,13.1491,4.6231,55000,
15:14:24: 44477499,1200000|2200000|1200000|2200000,29.0977,13.1151,4.6332,53000,
15:14:24:378337562,1200000|2200000|1200000|2200000,28.5578,12.5655,4.6143,54000,
15:14:24:712234308,1200000|2200000|1200000|2200000,30.1634,14.1436,4.7273,54000,
15:14:25: 46129895,1200000|2200000|1200000|2200000,28.1535,12.1619,4.6001,54000,
15:14:25:380016201,1200000|2200000|1200000|2200000,28.5875,12.5879,4.6440,54000,
15:14:25:713955977,2000000|2200000|1300000|2200000,29.0812,13.0280,4.8208,55000,
15:14:26: 47880830,1200000|2200000|2000000|2200000,29.1043,13.0562,4.8490,54000,
15:14:26:381799562,1200000|2200000|1200000|2200000,28.5302,12.5319,4.6374,54000,
15:14:26:715699525,1200000|2200000|1200000|2200000,28.1122,12.1208,4.6102,54000,
15:14:27: 49598605,1200000|2200000|1200000|2200000,28.1643,12.1796,4.6343,55000,
15:14:27:383482141,1200000|2200000|1200000|2200000,28.4469,12.4532,4.6292,54000,
15:14:27:717374727,1200000|2200000|1700000|2200000,30.2386,14.2169,4.6987,55000,
15:14:28: 51287167,1200000|2200000|1200000|2200000,28.1409,12.1502,4.6136,54000,
15:14:28:385181614,1200000|2200000|1200000|2200000,28.4438,12.4452,4.5873,54000,
15:14:28:719071611,1200000|2200000|1200000|2200000,28.1010,12.1112,4.6248,54000,
15:14:29: 52996264,1200000|2200000|1200000|2200000,28.1263,12.1438,4.6050,54000,
15:14:29:386863124,1200000|2200000|1200000|2200000,28.4827,12.4892,4.6295,54000,
15:14:29:720751689,1200000|2200000|1400000|2200000,30.1671,14.0536,4.9429,55000,
15:14:30: 54642315,1200000|2200000|1200000|2200000,28.1668,12.1705,4.6437,54000,
15:14:30:388516860,1200000|2200000|1200000|2200000,28.4828,12.4865,4.6273,54000,
15:14:30:722427422,1800000|2200000|1900000|2200000,30.2646,14.2587,4.6531,54000,
15:14:31: 57079971,1200000|2200000|1200000|2200000,28.2051,12.2011,4.6206,53000,
15:14:31:390967686,1200000|2200000|1200000|2200000,28.5988,12.6011,4.5857,54000,
15:14:31:724862693,1200000|2200000|1200000|2200000,28.1078,12.1160,4.6363,54000,
15:14:32: 58727992,1200000|2200000|1200000|2200000,28.1301,12.1423,4.6207,53000,
15:14:32:392625811,1200000|2200000|1200000|2200000,28.5603,12.5679,4.6020,53000,
15:14:32:726512101,1200000|2200000|1200000|2200000,28.1169,12.1277,4.5816,53000,
15:14:33: 60379345,1200000|2200000|1200000|2200000,28.1596,12.1693,4.6181,53000,
15:14:33:394280487,2200000|2200000|2200000|2200000,30.3238,14.2617,4.8069,53000,
15:14:33:728300882,2200000|2200000|1700000|2200000,35.8621,19.5416,5.7556,54000,
15:14:34: 62203076,1600000|2200000|1700000|2200000,35.4449,19.0776,5.7870,55000,
15:14:34:396132022,2200000|2200000|2200000|2200000,34.8700,18.5588,5.7200,54000,
15:14:34:730053209,2000000|2200000|1900000|2200000,34.7053,18.4150,5.6055,55000,
15:14:35: 64125139,2200000|2200000|1900000|2200000,33.1786,16.9527,5.3494,54000,
15:14:35:398061440,1900000|2200000|1700000|2200000,32.6047,16.3972,5.2530,55000,
15:14:35:732008144,2100000|2200000|2100000|2200000,30.6409,14.5050,4.8833,54000,
15:14:36: 66589283,1200000|2200000|1200000|2200000,29.7285,13.7477,4.7350,55000,
15:14:36:400498874,2200000|2200000|1900000|2200000,31.4897,15.3481,5.0023,55000,
15:14:36:734733063,1900000|2200000|1500000|2200000,29.8454,13.8392,4.7737,55000,
15:14:37: 68638323,2200000|2200000|1900000|2200000,32.1397,16.0688,4.8962,55000,
15:14:37:402552058,1700000|2200000|1800000|2200000,30.0588,14.0953,4.7374,54000,
15:14:37:736494144,1200000|2200000|1200000|2200000,30.3588,14.2737,4.8928,54000,
15:14:38: 70395543,1200000|2200000|1200000|2200000,29.2906,13.2997,4.6312,55000,
15:14:38:404312539,1200000|2200000|1200000|2200000,31.3657,15.2725,5.0400,55000,
15:14:38:738215719,1200000|2200000|1200000|2200000,29.1883,13.2090,4.5886,54000,
15:14:39: 72101150,1900000|2200000|1900000|2200000,30.5274,14.4772,4.8430,56000,
15:14:39:406075481,1200000|2200000|1200000|2200000,29.8865,13.8384,4.7837,55000,
15:14:39:739959296,1200000|2200000|1200000|2200000,29.2343,13.2543,4.6397,55000,
15:14:40: 73833381,2100000|2200000|1900000|2200000,31.0635,14.9855,4.9761,55000,
15:14:40:407763510,2200000|2200000|2000000|2200000,30.3944,14.3842,4.6760,56000,
15:14:40:741669259,1200000|2200000|1200000|2200000,30.1838,14.1651,4.7000,55000,
15:14:41: 76327611,1600000|2200000|2000000|2200000,29.9273,13.9112,4.7290,54000,
15:14:41:410270893,1200000|2200000|1200000|2200000,30.4296,14.3464,4.9078,56000,
15:14:41:744181087,1200000|2200000|1200000|2200000,29.2057,13.2308,4.6460,55000,
15:14:42: 78049217,1200000|2200000|1200000|2200000,29.2066,13.2420,4.6332,55000,
15:14:42:411922392,2000000|2200000|1400000|2200000,31.1109,15.0266,4.9683,55000,
15:14:42:745846807,1200000|2200000|1200000|2200000,29.1930,13.1856,4.6177,54000,
15:14:43: 79716982,1200000|2200000|1200000|2200000,29.2607,13.2847,4.6188,55000,
